date,rarete,titre,atk,def,url
2026-09-23T08:15:29+00:00,C,Villa Medicea di Arena Metato,1682,1839,https://fr.wikipedia.org/wiki/Villa_Medicea_di_Arena_Metato
2026-09-23T08:15:29+00:00,C,Septième arrondissement électoral du Nord (Douai) de 1821 à 1830,1751,3285,https://fr.wikipedia.org/wiki/Septi%C3%A8me_arrondissement_%C3%A9lectoral_du_Nord_(Douai)_de_1821_%C3%A0_1830
2026-09-23T08:15:29+00:00,PC,Liste des pièces commémoratives de 2 euros de 2011,3448,5706,https://fr.wikipedia.org/wiki/Liste_des_pi%C3%A8ces_comm%C3%A9moratives_de_2_euros_de_2011
2026-09-23T08:15:29+00:00,PC,Foyer socio-éducatif,2816,2045,https://fr.wikipedia.org/wiki/Foyer_socio-%C3%A9ducatif
2026-09-23T08:15:29+00:00,R,Histoire de la culture de l'hévéa,5819,7318,https://fr.wikipedia.org/wiki/Histoire_de_la_culture_de_l%27h%C3%A9v%C3%A9a
